code,description,unit,category,marked
207176,TILT PANEL SPACER PACKER 20mm WHITE,EACH,CONCRETE — SPACERS / TROWELS / MIX,
207240,CONCRETE 20kg (EASY MIX),BAG (48/pallet),CONCRETE — SPACERS / TROWELS / MIX,
207367,QUICKSET RAPIDSET BONDALL SILASEC 4LT,EACH,CONCRETE — SPACERS / TROWELS / MIX,
208236,CONCRETE EASY MIX SUPER STRENGTH 55MPA,BAG (48/pallet),CONCRETE — SPACERS / TROWELS / MIX,
208258,FAST SET MORTA 5KG BAG,BAG,CONCRETE — SPACERS / TROWELS / MIX,
219102,F72 STEEL MESH CUT 1.2Mx2.4M,EACH,CONCRETE — SPACERS / TROWELS / MIX,
113512,RED PAVER CAUTIONAL 300X300C40,EACH,CONCRETE — PAVERS / BACKSTONES / SAND,
113513,SUNGOLD PAVER DIRECTIONAL 300X300X40,EACH,CONCRETE — PAVERS / BACKSTONES / SAND,
113601,COMMON HOUSE BRICKS,EACH,CONCRETE — PAVERS / BACKSTONES / SAND,
207177,TIMBER PEGS HARDWOOD,BUNDLE (25/bundle),CONCRETE — PAVERS / BACKSTONES / SAND,
207251,KITTY LITTER / SPILL ABSORBENT 15kg/22L,BAG,CONCRETE — PAVERS / BACKSTONES / SAND,
207252,EZ STREET COLD ASPHALT 20kg,BAG (48/pallet),CONCRETE — PAVERS / BACKSTONES / SAND,
208514,PAVER SAND 20kg,BAG (56/pallet),CONCRETE — PAVERS / BACKSTONES / SAND,
218301,CONCRETE BACKSTONE 1.22m,EACH,CONCRETE — PAVERS / BACKSTONES / SAND,
218401,CONCRETE BACKSTONE 2.13m,EACH,CONCRETE — PAVERS / BACKSTONES / SAND,
218501,CONCRETE BACKSTONE 3.20m,EACH,CONCRETE — PAVERS / BACKSTONES / SAND,
152201,CROWBAR LIGHT,EACH,DIGGING / HANDLING,
152952,"LITTER PICKER 32"" EASY REACH",EACH,DIGGING / HANDLING,
206905,SHOVEL POST DEEP HOLE STRAIGHT,EACH,DIGGING / HANDLING,
206906,SHOVEL POST DEEP HOLE ANGLED,EACH,DIGGING / HANDLING,
207075,WHEELBARROW STEEL TRAY 100LT,EACH,DIGGING / HANDLING,
208510,CAMPING SHOVEL GREEN 630mm,EACH,DIGGING / HANDLING,
209202,SHOVEL SQUARE MOUTH WHITE,EACH,DIGGING / HANDLING,
206831,STAR PICKET CAP YELLOW,PKT (40/pkt),PICKETS / SILT FENCE / SITE CONTROL,
206835,VISQUEEN BLACK PLASTIC 50mx2m,ROLL,PICKETS / SILT FENCE / SITE CONTROL,
207089,COIR LOGS 1.5Mx200MM (COCO LOGS),EACH,PICKETS / SILT FENCE / SITE CONTROL,
207100,ORANGE FLAG ON A ROPE (30m),EACH,PICKETS / SILT FENCE / SITE CONTROL,
207126,SILT FENCE GREEN 860mm x 100mt,EACH,PICKETS / SILT FENCE / SITE CONTROL,
208403,STAR PICKET BLACK 180cm (BUNDLE OF 5),BUNDLE,PICKETS / SILT FENCE / SITE CONTROL,
208404,STAR PICKET BLACK 135cm (BUNDLE OF 5),BUNDLE,PICKETS / SILT FENCE / SITE CONTROL,
208409,GALVANISED STAR PICKET 135cm (BUNDLE OF 5),BUNDLE,PICKETS / SILT FENCE / SITE CONTROL,
208436,STAR PICKET NON-CONDUCTIVE 1650mm,EACH,PICKETS / SILT FENCE / SITE CONTROL,
279851,SITE BARRIER MESH H/DUTY 900mm X 30m,EACH,PICKETS / SILT FENCE / SITE CONTROL,
155302,INSERTION RUBBER 3.2mmX1.2m WIDE,METRE,TIMBER / PLY,
175110,TIMBER SLEEPER HARDWOOD 200mmX75mmX2400mm,EACH,TIMBER / PLY,
190501,PLY FORM BLACK 12mm – 2.4m X 1.2m,SHEET,TIMBER / PLY,
190502,PLY STRUCTURAL LIGHT BROWN 12mm – 2.4Mx1.2M,SHEET,TIMBER / PLY,
190601,PLY FORM BLACK 17.5mm – 2.4m X 1.2m,SHEET,TIMBER / PLY,
193201,TIMBER HYDRANT POST 125mmX50mmX1.2m,EACH,TIMBER / PLY,
207256,TIMBER LAMI SMARTEDGE 100mm x 36mm x 6m,LENGTH,TIMBER / PLY,
207258,TIMBER PINE BOXING 90mmX35mmX6m,LENGTH,TIMBER / PLY,
207259,TIMBER LAMI EDGEFORM 100mm x 16mm x 6m,LENGTH,TIMBER / PLY,
207260,TIMBER LAMI EDGEFORM 150mm x 36mm x 6m,LENGTH,TIMBER / PLY,
207261,TIMBER LAMI EDGEFORM 150mm x 16mm x 6m,LENGTH,TIMBER / PLY,
113503,BIKE GULLY GRATE 900x600 CLASS D,EACH,PARKS / DRAINAGE INFRASTRUCTURE,
193302,LOCKING RAIL & POST 4m X 65NB,EACH,PARKS / DRAINAGE INFRASTRUCTURE,
193510,PARKS LOCKING POST WITH FLANGE,EACH,PARKS / DRAINAGE INFRASTRUCTURE,
207068,LITTER BIN SQUARE (SUIT BIRD FLAP),EACH,PARKS / DRAINAGE INFRASTRUCTURE,
207162,GEOCOMPOSITE GRID 40/40KN/M 4.75Mx100M,ROLL,PARKS / DRAINAGE INFRASTRUCTURE,
207239,GEOFABRIC FILTER WRAP 2m x 50m (BIDIM),ROLL,PARKS / DRAINAGE INFRASTRUCTURE,
207989,AGGIE PIPE 100mmX100mt SN8 CL1000 W/SOCK,ROLL,PARKS / DRAINAGE INFRASTRUCTURE,
208435,TIMBER PINE BOLLARD 150mm X 1.5mt DOMED,EACH,PARKS / DRAINAGE INFRASTRUCTURE,
207191,SANDBAGS 760X455 LOGO,BUNDLE (200/bundle),ROAD MARKERS / PAVEMENT / PIPE,
207228,MANHOLE SEALANT 3.6 METRE COIL,EACH,ROAD MARKERS / PAVEMENT / PIPE,
207234,ONE WAY PAVEMENT MARKER YELLOW,EACH (100/box),ROAD MARKERS / PAVEMENT / PIPE,
207235,ONE WAY PAVEMENT MARKER RED,EACH (100/box),ROAD MARKERS / PAVEMENT / PIPE,
207236,TWO WAY PAVEMENT MARKER YELLOW,EACH (100/box),ROAD MARKERS / PAVEMENT / PIPE,
207341,MARKER TAR PADS ADHESIVE FOR CATS EYES,CTN,ROAD MARKERS / PAVEMENT / PIPE,
207362,AGGIE PIPE Y JUNCTION 100mm,EACH,ROAD MARKERS / PAVEMENT / PIPE,
207363,AGGIE PIPE JOINER 100mm,EACH,ROAD MARKERS / PAVEMENT / PIPE,
101551,PVC GLUE CEMENT 500ML BLUE TYPE N,EACH,LUBRICANTS / GLUES / GRAFFITI REMOVER,
167102,ANTI-SEIZE THREAD EZE (LOCTITE),EACH,LUBRICANTS / GLUES / GRAFFITI REMOVER,
207215,LANOLIN GREASE 1LT / PETROLEUM JELLY,EACH,LUBRICANTS / GLUES / GRAFFITI REMOVER,
207216,DUCTILE PIPE LUBRICANT 500G BACTERICIDAL,EACH,LUBRICANTS / GLUES / GRAFFITI REMOVER,
207217,METHYLATED SPIRITS 1 LITRE BOTTLE,EACH,LUBRICANTS / GLUES / GRAFFITI REMOVER,
208213,PVC CLEANING FLUID / PRIMER 500ML CLEAR,EACH,LUBRICANTS / GLUES / GRAFFITI REMOVER,
208228,DENSO TAPE 150mm X 10mt ROLL,EACH,LUBRICANTS / GLUES / GRAFFITI REMOVER,
208233,ANTI-SEIZE NICKLE (LOCTITE),EACH,LUBRICANTS / GLUES / GRAFFITI REMOVER,
208248,TRICLEANIUM GRAFFITI REMOVER 750ml,EACH,LUBRICANTS / GLUES / GRAFFITI REMOVER,
279312,GRAFFITI REMOVER 500ml TRIGGER,EACH,LUBRICANTS / GLUES / GRAFFITI REMOVER,
182796,MOMAR MOLEY DRY FILM LUBRICANT 400g,EACH,LUBRICANT SPRAYS / TRIMMER CORD,
207040,TRIMMER CORD GREEN 3.3mm,EACH,LUBRICANT SPRAYS / TRIMMER CORD,
207111,LUBRICANT SPRAY (CRC/INOX/WD40),EACH,LUBRICANT SPRAYS / TRIMMER CORD,
207124,TRIMMER CORD ORANGE 2.7MM,EACH,LUBRICANT SPRAYS / TRIMMER CORD,
207501,BUTYL TAPE PRIMER 1LT,EACH,LUBRICANT SPRAYS / TRIMMER CORD,
279308,HEAVY DUTY DEGREASER 400g,EACH,LUBRICANT SPRAYS / TRIMMER CORD,
279319,LANOLIN LUBRICANT SPRAY H/D 300g,EACH,LUBRICANT SPRAYS / TRIMMER CORD,
279339,SILICONE SPRAY,EACH,LUBRICANT SPRAYS / TRIMMER CORD,
123302,FUEL CONTAINER 10LT PLASTIC,EACH,FUEL / 2-STROKE / CHAINSAW OIL,
167103,EXPANDING FOAM 500ml Can,EACH,FUEL / 2-STROKE / CHAINSAW OIL,
192454,OIL – BAR & CUTTER LUBE 1LT SYNTHPLUS,EACH,FUEL / 2-STROKE / CHAINSAW OIL,
206801,FUEL CONTAINER 20LT PLASTIC,EACH,FUEL / 2-STROKE / CHAINSAW OIL,
207178,2 STROKE FUEL CONTAINER ID TAGS,EACH,FUEL / 2-STROKE / CHAINSAW OIL,
207179,UNLEADED FUEL CONTAINER ID TAGS,EACH,FUEL / 2-STROKE / CHAINSAW OIL,
207180,DIESEL FUEL CONTAINER ID TAGS,EACH,FUEL / 2-STROKE / CHAINSAW OIL,
207221,TWO-STROKE OIL HP SUPER 5L,EACH,FUEL / 2-STROKE / CHAINSAW OIL,
208118,LOXEAL 58-11 (PERMABOND) 100ML,EACH,FUEL / 2-STROKE / CHAINSAW OIL,
208509,OIL – BAR & CUTTER LUBE 5LT SYNTHPLUS,EACH,FUEL / 2-STROKE / CHAINSAW OIL,
279335,FREEZE & RELEASE LUBRICANT 310g,EACH,FUEL / 2-STROKE / CHAINSAW OIL,
160302,GARDEN HOSE CONNECTOR BRASS 12mm,EACH,GARDEN HOSE,
160304,GARDEN HOSE COUPLER 12mm 2-END,EACH,GARDEN HOSE,
162511,GARDEN HOSE JOINER BRASS 12MM,EACH,GARDEN HOSE,
200501,"GARDEN HOSE TAP ADAPTOR BRASS 3/4""",EACH,GARDEN HOSE,
200502,"GARDEN HOSE TAP ADAPTOR BRASS 1""",EACH,GARDEN HOSE,
207116,HOSE GARDEN 12mm X 20mt ROLL,EACH,GARDEN HOSE,
207224,GARDEN HOSE KIT 12mm,EACH,GARDEN HOSE,
207677,GARDEN HOSE NOZZLE 12mm,EACH,GARDEN HOSE,
207390,R1-1B STOP SIGN,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207392,R1-2B GIVE WAY SIGN,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207393,R1-3B ROUNDABOUT,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207409,R2-3A KEEP LEFT,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207410,D4-1-1A UNI-DIR HAZARD MARKER,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207411,TC9265 KEEP LEFT – NARROW,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207412,D4-1-2A UNI-DIR HAZARD MARKER,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207413,R2-4B NO ENTRY,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207414,D4-2-2A 2 WAY DIR HAZARD MARKER,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207415,R2-5B NO U-TURN,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207418,R2-6B RIGHT NO RIGHT TURN,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207419,D4-6B CHEVRON ALIGNMENT MARKER,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207420,R2-6B LEFT NO LEFT TURN,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207423,R3-1B PEDESTRIAN CROSSING,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207424,R4-1B 60KM SPEED RESTRICTION,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207425,R4-1B 70KM SPEED RESTRICTION,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207426,R4-1B 80KM SPEED RESTRICTION,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207427,R4-Q01A SCHOOL ZONE TARGET BOARD,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207437,R5-20 LEFT BUS ZONE LEFT ARROW,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207439,R5-20 RIGHT BUS ZONE RIGHT ARROW,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207444,R5-35 LEFT NO STOP ANYTIME LEFT,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207445,R5-35 RIGHT NO STOP ANYTIME RIGHT,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207446,R5-35 DOUBLE NO STOP ANYTIME DOUBLE,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207452,D4-2-3A BIDIRECTIONAL HAZARD MARKER,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207453,D4-5 OBSTRUCTION MARKER,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207454,G9-18B NO THROUGH ROAD,EACH,ROADS & SIGNS — HAZARD / REGULATORY,
207382,W1-1B TURN RIGHT ARROW,EACH,ROADS & SIGNS — WARNING,
207383,W1-1B TURN RIGHT ARROW,EACH   [note: catalogue lists both 207382 and 207383 with same description — verify with Stores],ROADS & SIGNS — WARNING,
207386,W1-3B LEFT CURVE LEFT,EACH,ROADS & SIGNS — WARNING,
207387,W1-3B RIGHT CURVE RIGHT,EACH,ROADS & SIGNS — WARNING,
207388,W1-4B LEFT REVERSE CURVE LEFT,EACH,ROADS & SIGNS — WARNING,
207389,W1-4B RIGHT REVERSE CURVE RIGHT,EACH,ROADS & SIGNS — WARNING,
207391,W2-3B T JUNCTION,EACH,ROADS & SIGNS — WARNING,
207394,W2-4B LEFT SIDE ROAD JUNCTION LEFT,EACH,ROADS & SIGNS — WARNING,
207396,W2-4B RIGHT SIDE ROAD JUNCTION RIGHT,EACH,ROADS & SIGNS — WARNING,
207397,W2-7B ROUNDABOUT AHEAD,EACH,ROADS & SIGNS — WARNING,
207399,W3-2B GIVE WAY SIGN AHEAD,EACH,ROADS & SIGNS — WARNING,
207400,W3-4B ROAD HUMPS AHEAD,EACH,ROADS & SIGNS — WARNING,
207401,W5-7-1B FLOODWAY,EACH,ROADS & SIGNS — WARNING,
207402,W5-11B CREST,EACH,ROADS & SIGNS — WARNING,
207403,W5-18B ROAD ENDS,EACH,ROADS & SIGNS — WARNING,
207405,W5-10B ROAD HUMP,EACH,ROADS & SIGNS — WARNING,
207406,W5-29B KANGAROOS,EACH,ROADS & SIGNS — WARNING,
207428,W6-1B FATHER / DAUGHTER,EACH,ROADS & SIGNS — WARNING,
207429,W6-2B PED-XING AHEAD,EACH,ROADS & SIGNS — WARNING,
207431,W6-3B MOTHER & SON,EACH,ROADS & SIGNS — WARNING,
207434,W8-2B 20KM/H,EACH,ROADS & SIGNS — WARNING,
207436,W8-2B 40KM/H,EACH,ROADS & SIGNS — WARNING,
207438,W8-2B 60KM/H,EACH,ROADS & SIGNS — WARNING,
207440,W8-2B 70KM/H,EACH,ROADS & SIGNS — WARNING,
207447,W8-25B REFUGE ISLAND,EACH,ROADS & SIGNS — WARNING,
207455,W8-22B CROSSING AHEAD,EACH,ROADS & SIGNS — WARNING,
207192,RUMBLE BAR 300mm YELLOW,PKT (2 UNITS),ROADS & SIGNS — RUMBLE BARS / FIXINGS,
207193,RUMBLE BAR 600mm YELLOW,PKT (4 UNITS),ROADS & SIGNS — RUMBLE BARS / FIXINGS,
207381,CARRIAGE GALVANISED BOLT M10 x 40mm,BOX (150),ROADS & SIGNS — RUMBLE BARS / FIXINGS,
124301,GALVANISED POST CAP,EACH (100/box),ROADS & SIGNS — POSTS / BRACKETS / ACCESSORIES,
139155,WEDGES / GOLF STICKS,EACH (100/box),ROADS & SIGNS — POSTS / BRACKETS / ACCESSORIES,
145007,TD4 SIGN BRACKET – DOUBLE FOR 50MM,EACH (100/box),ROADS & SIGNS — POSTS / BRACKETS / ACCESSORIES,
145008,TD3 SIGN BRACKET – SINGLE 50MM,EACH (100/box),ROADS & SIGNS — POSTS / BRACKETS / ACCESSORIES,
193301,GALVANISED POST 50mm X 4.4M,EACH (37/bundle),ROADS & SIGNS — POSTS / BRACKETS / ACCESSORIES,
193606,SPIKE FOR FLEXI GUIDEPOST,EACH,ROADS & SIGNS — POSTS / BRACKETS / ACCESSORIES,
193608,GUIDEPOST WHITE PLASTIC FLEXI,EACH,ROADS & SIGNS — POSTS / BRACKETS / ACCESSORIES,
207067,LITTER BIN BIRD FLAP (with gal insert),EACH,ROADS & SIGNS — POSTS / BRACKETS / ACCESSORIES,
207449,STREET NAME PLATE BRACKET 200MM,EACH (25/box),ROADS & SIGNS — POSTS / BRACKETS / ACCESSORIES,
207450,SADDLE BRACKET FOR BRACED SIGNS,EACH (100/box),ROADS & SIGNS — POSTS / BRACKETS / ACCESSORIES,
208440,BOLT ANTI THEFT M10 X 20mm,BOX OF 100,ROADS & SIGNS — ANTI-THEFT FIXINGS,
208441,BOLT ANTI THEFT M10 X 40mm,BOX OF 50,ROADS & SIGNS — ANTI-THEFT FIXINGS,
208442,NUT ANTI THEFT M10 – TUFFNUT ZY,BOX OF 50,ROADS & SIGNS — ANTI-THEFT FIXINGS,
208443,BASE PLATE BOLT DOWN / POST FLANGE,EACH,ROADS & SIGNS — ANTI-THEFT FIXINGS,
208444,POST WEDGE SLEEVE (GIBB KEYS),BOX OF 20,ROADS & SIGNS — ANTI-THEFT FIXINGS,
208445,WASHER FLAT M10 x 21 x 2.0mm HDG,BOX OF 100,ROADS & SIGNS — ANTI-THEFT FIXINGS,
208446,BRACKET PRESSED SINGLE METAL,BOX OF 40,ROADS & SIGNS — ANTI-THEFT FIXINGS,
139152,600mm GROUND ANCHOR SPIKE,EACH,ROADS & SIGNS — BOLLARDS / CONES / GAS,
139153,250mm GROUND ANCHOR SPIKE,EACH,ROADS & SIGNS — BOLLARDS / CONES / GAS,
139154,450mm GROUND ANCHOR SPIKE,EACH,ROADS & SIGNS — BOLLARDS / CONES / GAS,
172554,9KG GAS BOTTLE FULL – PURCHASE ONLY,EACH,ROADS & SIGNS — BOLLARDS / CONES / GAS,
172555,4.5KG GAS BOTTLE FULL – PURCHASE ONLY,EACH,ROADS & SIGNS — BOLLARDS / CONES / GAS,
172902,9KG SWAP AND GO GAS BOTTLE EXCHANGE,EACH,ROADS & SIGNS — BOLLARDS / CONES / GAS,
172903,4.5KG SWAP AND GO GAS BOTTLE EXCHANGE,EACH,ROADS & SIGNS — BOLLARDS / CONES / GAS,
207069,BASE FOR T TOP BOLLARD,EACH,ROADS & SIGNS — BOLLARDS / CONES / GAS,
207070,T TOP BOLLARD ORANGE 1150mm,EACH (10/box),ROADS & SIGNS — BOLLARDS / CONES / GAS,
210021,STOP SLOW TRAFFIC SIGN BAT 450mm,EACH,ROADS & SIGNS — BOLLARDS / CONES / GAS,
279802,TRAFFIC CONE CL1W 450 HIGH,EACH,ROADS & SIGNS — BOLLARDS / CONES / GAS,
172601,UBD STREET DIRECTORY BRISBANE,EACH,ROADS & SIGNS — SPLITTER ISLANDS / DIRECTORY,
218561,SPLITTER ISLAND END (with LOC SOCKET),EACH,ROADS & SIGNS — SPLITTER ISLANDS / DIRECTORY,
218563,SPLITTER ISLAND CENTRE (with LOC SOCKET),EACH,ROADS & SIGNS — SPLITTER ISLANDS / DIRECTORY,
102323,KERB ADAPTOR LAYBACK M1,EACH (8/box),KERB ADAPTORS,
102324,KERB ADAPTOR ROLLOVER M3,EACH (8/box),KERB ADAPTORS,
102330,KERB ADAPTOR BARRIER B2,EACH (8/box),KERB ADAPTORS,
207077,KERBMARKER S/STEEL 'SV' 38mm x 1.6mm,EACH,KERB ADAPTORS,
207078,KERBMARKER S/STEEL 'W' 38mm x 1.6mm,EACH,KERB ADAPTORS,
207079,KERBMARK S/STEEL 'V' 38mm x 1.6mm,EACH,KERB ADAPTORS,
207498,FLUSH KERB ADAPTOR ROLLOVER M3,EACH (8/box),KERB ADAPTORS,
208272,KERBMARKER S/STEEL 'E' 38mm x 1.6mm,EACH,KERB ADAPTORS,
208273,KERBMARKER S/STEEL 'T' 38mm x 1.6mm,EACH,KERB ADAPTORS,
208274,KERBMARKER S/STEEL 'G' 38mm x 1.6mm,EACH,KERB ADAPTORS,
208276,KERBMARKER S/STEEL 'E' 38mm x 1.6mm,"EACH   [note: see ""Known catalogue issues"" — 208276 collides with SPRING WATER]",KERB ADAPTORS,
196127,PONCHO HOODED,EACH,CLOTHING — RAINCOATS / VESTS / UMBRELLA,
196499,UMBRELLA BLACK RIB RAIN,EACH,CLOTHING — RAINCOATS / VESTS / UMBRELLA,
206988,RAINCOAT SMALL,EACH,CLOTHING — RAINCOATS / VESTS / UMBRELLA,
206989,RAINCOAT MEDIUM,EACH,CLOTHING — RAINCOATS / VESTS / UMBRELLA,
206990,RAINCOAT LARGE,EACH,CLOTHING — RAINCOATS / VESTS / UMBRELLA,
206991,RAINCOAT XL,EACH,CLOTHING — RAINCOATS / VESTS / UMBRELLA,
206992,RAINCOAT 2XL,EACH,CLOTHING — RAINCOATS / VESTS / UMBRELLA,
206994,RAINCOAT 4XL,EACH,CLOTHING — RAINCOATS / VESTS / UMBRELLA,
206995,RAINCOAT 5XL,EACH,CLOTHING — RAINCOATS / VESTS / UMBRELLA,
206996,SAFETY VEST SMALL,EACH,CLOTHING — RAINCOATS / VESTS / UMBRELLA,
206999,SAFETY VEST L/XL,EACH,CLOTHING — RAINCOATS / VESTS / UMBRELLA,
207054,RAINCOAT 3XL,EACH,CLOTHING — RAINCOATS / VESTS / UMBRELLA,
208249,SAFETY VEST 2XL/3XL,EACH,CLOTHING — RAINCOATS / VESTS / UMBRELLA,
208250,SAFETY VEST S/M,EACH,CLOTHING — RAINCOATS / VESTS / UMBRELLA,
208251,SAFETY VEST 4XL/5XL,EACH,CLOTHING — RAINCOATS / VESTS / UMBRELLA,
196284,HAT STRAW SMALL,EACH,HATS / BAGS,
196285,HAT STRAW MEDIUM,EACH,HATS / BAGS,
196286,HAT STRAW LARGE,EACH,HATS / BAGS,
196287,HAT STRAW XL,EACH,HATS / BAGS,
207052,SPORTS BAG,EACH,HATS / BAGS,
207512,ADAPTA CAP DELTA HAT,EACH,HATS / BAGS,
207621,HAT STRAW SMALL (alt range),EACH,HATS / BAGS,
207622,HAT STRAW MEDIUM (alt range),EACH,HATS / BAGS,
207623,HAT STRAW LARGE (alt range),EACH,HATS / BAGS,
208048,BEANIE HIGH VIS ONE SIZE FITS ALL,EACH,HATS / BAGS,
208104,HAT STRAW XL (alt range),EACH,HATS / BAGS,
173901,ENAMEL MUG,EACH,HYDRATION & COOLING,
174951,THERMOS FLASK 1.2L,EACH,HYDRATION & COOLING,
207076,COOLING NECK TIE,EACH,HYDRATION & COOLING,
207087,5 LITRE WATER BOTTLE,EACH,HYDRATION & COOLING,
207479,COOLING CHILL TOWEL,EACH,HYDRATION & COOLING,
207561,COOLING CAP ROYAL BLUE,EACH,HYDRATION & COOLING,
207562,2.5 LITRE WATER BOTTLE,EACH,HYDRATION & COOLING,
207563,COOLING SCARF ROYAL BLUE,EACH,HYDRATION & COOLING,
207572,12 LITRE WATER,EACH,HYDRATION & COOLING,
208152,10 LITRE WATER BOTTLE,EACH,HYDRATION & COOLING,
208214,HYDRATION BACKPACK COOLER,EACH,HYDRATION & COOLING,
208215,BACKPACK COOLER REPLACE BLADDER AND HOSE,EACH,HYDRATION & COOLING,
208220,ELECTROLYTE DRINK,EACH,HYDRATION & COOLING,
208276,SPRING WATER – 600ml,EACH (CARTON 24)   [note: duplicate code — see Known catalogue issues],HYDRATION & COOLING,
208477,BODY ARMOUR HYDRATE ICY POLES,PACK 12,HYDRATION & COOLING,
196341,NECKBAND EARMUFFS,EACH,SAFETY — EAR PROTECTION / ASBESTOS,
200602,ASBESTOS DISPOSABLE SUIT MEDIUM,EACH,SAFETY — EAR PROTECTION / ASBESTOS,
200603,ASBESTOS DISPOSABLE SUIT LARGE,EACH,SAFETY — EAR PROTECTION / ASBESTOS,
200604,ASBESTOS DISPOSABLE SUIT XL,EACH,SAFETY — EAR PROTECTION / ASBESTOS,
200605,ASBESTOS DISPOSABLE SUIT 2XL,EACH,SAFETY — EAR PROTECTION / ASBESTOS,
200606,ASBESTOS DISPOSABLE SUIT 3XL,EACH,SAFETY — EAR PROTECTION / ASBESTOS,
200607,ASBESTOS DISPOSABLE SUIT 4XL,EACH,SAFETY — EAR PROTECTION / ASBESTOS,
200650,ASBESTOS REMOVAL BAG (1200 x 900),EACH,SAFETY — EAR PROTECTION / ASBESTOS,
206832,FOAM SQUEEZE EAR PLUGS,EACH (100 earplugs/box),SAFETY — EAR PROTECTION / ASBESTOS,
206833,POD EAR PLUGS,EACH,SAFETY — EAR PROTECTION / ASBESTOS,
207195,ASBESTOS BOOT COVER,PKT,SAFETY — EAR PROTECTION / ASBESTOS,
207273,ASBESTOS DISPOSABLE SUIT 5XL,EACH,SAFETY — EAR PROTECTION / ASBESTOS,
207105,DUST MASK P2 – PKT 20 (Not for Covid),BOX,SAFETY — RESPIRATORS / FILTERS,
207352,ASBESTOS CARTRIDGE FOR FACE MASK P3SR510,EACH,SAFETY — RESPIRATORS / FILTERS,
207354,ASBESTOS FILTERS FOR FACE MASK (PKT 5),EACH,SAFETY — RESPIRATORS / FILTERS,
207355,ASBESTOS FACE MASK KIT M/L,EACH,SAFETY — RESPIRATORS / FILTERS,
207461,CARTRIDGE TO SUIT 1/2 MASK MEDIUM 70030M,EACH,SAFETY — RESPIRATORS / FILTERS,
207515,ASBESTOS FACE MASK KIT L/XL,EACH,SAFETY — RESPIRATORS / FILTERS,
207564,ASBESTOS FACE MASK KIT SMALL,EACH,SAFETY — RESPIRATORS / FILTERS,
196303,FACE SHIELD WITH CLEAR VISOR,EACH,SAFETY — EYEWEAR / FACE SHIELD,
196422,SAFETY GOGGLES TINTED TRACKER GLASSES,PAIR,SAFETY — EYEWEAR / FACE SHIELD,
196424,SAFETY GLASSES CLEAR,PAIR,SAFETY — EYEWEAR / FACE SHIELD,
196425,SAFETY GLASSES SMOKE TINTED – RICHTER,PAIR,SAFETY — EYEWEAR / FACE SHIELD,
207194,LENS CLEANER TOWELETTE PKT 100,BOX,SAFETY — EYEWEAR / FACE SHIELD,
208105,SAFETY GLASSES SMOKE TINTED BLACK ARMS,PAIR,SAFETY — EYEWEAR / FACE SHIELD,
208502,YELLOW TINTED SAFETY GLASSES,PAIR,SAFETY — EYEWEAR / FACE SHIELD,
196300,VISOR MESH FOR HARD HAT,EACH,SAFETY — HARD HATS / ACCESSORIES,
196301,WHITE HARD HAT HELMET,EACH,SAFETY — HARD HATS / ACCESSORIES,
196304,VISOR CLEAR FOR HARD HAT,EACH,SAFETY — HARD HATS / ACCESSORIES,
196305,VISOR CAP ATTACHMENT FOR HARD HAT,EACH,SAFETY — HARD HATS / ACCESSORIES,
196343,EARMUFFS CAP ATTACHMENT FOR HARD HAT,EACH,SAFETY — HARD HATS / ACCESSORIES,
196381,SHADE BRIM FOR HARD HAT,EACH,SAFETY — HARD HATS / ACCESSORIES,
207491,CHIN STRAP FOR HARD HAT HELMET,EACH,SAFETY — HARD HATS / ACCESSORIES,
208151,WHITE HARD HAT BROAD BRIM HELMET,EACH,SAFETY — HARD HATS / ACCESSORIES,
208252,SWEAT BAND FOR HARD HAT (5 PACK),PACK,SAFETY — HARD HATS / ACCESSORIES,
196162,DISHWASH RUBBER GLOVES,PAIR,GLOVES — CHEMICAL / RUBBER / DISPOSABLE,
196201,PVC 45cm CHEMICAL GLOVES,PAIR,GLOVES — CHEMICAL / RUBBER / DISPOSABLE,
207107,CHEMICAL RESISTANT POWDER & LATEX FREE GLOVES LARGE,BOX,GLOVES — CHEMICAL / RUBBER / DISPOSABLE,
